재방문 여부,q1,1,남성,1,고졸이하,1,"공무원, 군인",0,15~20세,1,일본
재방문 횟수,q1a,2,여성,2,대졸,2,"기업인, 경영직",1,21~30세,2,중국
출입국 절차 만족,q13a01,9,무응답,3,대학원 이상,3,"사무, 기술직",2,31~40세,3,홍콩
대중교통 만족,q13a02,,,4,기타,4,"판매, 서비스직",3,41~50세,4,싱가포르
숙박 만족,q13a03,,,9,모름/무응답,5,전문직,4,51~60세,5,대만
음식 만족,q13a04,,,,,6,"생산, 기능, 노무직",5,61세,6,태국
쇼핑 만족,q13a05,,,,,7,자영업자,9,모름/무응답,7,말레이시아
관광지매력도 만족,q13a06,,,,,8,학생,,,8,호주
관광서비스 만족,q13a07,,,,,9,주부,,,9,미국
언어소통 만족,q13a08,,,,,10,은퇴자,,,10,캐나다
여행경비 만족,q13a09,,,,,11,무직,,,11,영국
치안 만족,q13a10,,,,,12,기타,,,12,독일
재방문 의사,q14,,,,,99,무응답,,,13,프랑스
추천 의사,q15,,,,,,,,,14,러시아
여행 전 한국 이미지,q16a,,,,,,,,,15,중동
여행 후 한국 이미지,q16b,,,,,,,,,16,인도
조사기간월,chasu,,,,,,,,,97,기타
거주국별,nat,,,,,,,,,,
거주도시,city,,,,,,,,,,
성별,sex,,,,,,,,,,
학력별,edu,,,,,,,,,,
직업별,job,,,,,,,,,,
연령별,age,,,,,,,,,,
