NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q14,q15,q16a,q16b,chasu,nat,city,sex,edu,job,age
1,2,3,6,3,5,4,5,3,3,4,3,3,5,3,3,4,4,12,12,1328,1,3,3,4
2,2,3,1,4,4,3,4,4,5,5,3,3,5,4,4,4,4,12,3,401,1,1,3,3
3,1,1,6,5,5,5,5,5,5,5,5,5,5,5,5,3,5,12,12,1304,1,1,99,2
4,1,1,1,4,4,4,5,4,3,4,3,4,3,4,4,4,5,12,3,401,1,2,8,1
5,2,3,1,3,4,5,5,5,4,4,4,4,4,5,5,4,4,12,3,401,2,2,3,1
6,1,1,7,5,5,5,5,5,5,5,3,5,5,5,5,5,5,12,14,1796,1,2,12,1
7,2,2,7,5,5,5,5,5,5,5,3,4,5,5,5,5,5,12,14,1701,1,2,5,2
8,1,1,7,5,5,5,2,4,4,4,4,3,5,3,4,3,5,12,12,1303,1,2,8,1
9,1,1,1,4,5,5,5,5,5,5,3,4,5,5,5,5,5,12,14,1703,1,2,2,2
10,1,1,6,5,5,4,4,5,5,4,3,5,5,5,5,3,5,12,14,1703,2,1,4,0
11,1,1,1,4,5,4,4,5,5,4,5,4,4,3,4,4,5,12,6,701,2,2,8,0
12,1,1,1,4,5,5,5,5,5,4,4,4,5,4,4,3,5,12,6,701,2,2,4,1
13,1,1,1,4,4,4,4,4,4,4,3,3,4,4,4,4,4,12,7,5001,1,2,2,3
14,1,1,4,4,5,4,5,4,4,4,2,3,3,4,4,5,4,12,7,5001,2,2,8,1
15,1,1,1,4,4,4,3,3,4,4,4,4,4,5,5,4,4,12,6,705,2,2,4,1
16,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,97,6496,2,1,12,1
17,1,1,7,5,5,3,5,5,5,5,4,4,5,4,5,3,5,12,13,1501,2,2,8,0
18,1,1,1,4,4,5,4,5,5,5,4,5,5,4,4,4,4,12,6,707,1,2,3,2
