,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
6004,6005,2,2,4,4,4,4,4,4,4,4,3,3,4,0,3,4,4,6,3,401,2,1,4,1
6005,6006,1,1,7,1,3,3,4,4,4,4,1,3,4,0,4,5,5,6,3,401,2,2,8,0
6006,6007,2,4,4,5,5,5,4,4,5,5,4,4,3,0,4,5,5,6,3,401,1,3,7,1
6007,6008,1,1,7,4,5,4,5,5,4,3,2,5,5,1,5,4,5,6,12,1348,2,2,8,1
6008,6009,2,2,1,4,3,4,4,4,4,4,4,4,4,0,4,4,4,6,3,401,1,2,8,1
6009,6010,1,1,1,5,5,5,5,5,5,5,3,3,4,1,5,5,5,6,97,6176,2,2,2,2
6013,6014,1,1,6,5,5,5,5,4,4,4,4,4,5,1,4,3,5,6,10,1011,1,1,1,3
6014,6015,1,1,1,5,5,3,5,5,5,4,3,4,5,0,5,4,5,6,8,608,2,3,1,2
6015,6016,1,1,7,4,5,4,5,4,5,3,2,3,5,0,4,4,4,6,7,5001,1,2,8,0
6016,6017,1,1,1,5,5,3,2,5,5,5,2,2,5,0,4,4,4,6,97,5006,2,2,10,3
6017,6018,2,2,6,4,4,4,5,4,5,4,4,3,4,1,4,4,4,6,9,892,1,2,5,4
6018,6019,2,4,4,4,4,4,4,4,4,4,3,3,4,1,4,4,4,6,5,501,1,2,2,3
6019,6020,2,2,6,5,5,5,5,5,5,5,5,5,5,1,5,4,4,6,5,501,2,2,7,2
6020,6021,1,1,1,4,4,4,4,4,4,4,3,4,5,0,4,4,4,6,4,402,1,3,1,1
6022,6023,1,1,5,4,5,4,5,5,4,4,4,4,5,1,5,5,5,6,9,803,2,3,5,1
6023,6024,2,4,4,5,5,5,3,5,5,5,3,5,5,1,5,4,4,6,6,701,2,2,3,1
