,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
27,28,1,1,7,4,5,4,5,5,5,3,4,4,5,0,4,4,5,12,9,803,2,2,8,1
38,39,1,1,7,3,5,5,5,5,4,5,5,5,5,0,5,3,5,12,9,882,1,2,8,1
46,47,1,1,1,5,4,5,5,4,4,5,5,4,5,1,5,4,5,12,9,816,1,2,4,0
49,50,1,1,7,4,4,4,4,4,4,4,4,5,5,1,5,3,5,12,9,819,1,2,8,1
59,60,1,1,5,5,5,5,5,5,5,4,4,4,5,1,5,4,5,12,9,873,1,3,5,1
63,64,1,1,1,4,5,4,5,5,5,4,4,5,4,0,5,4,4,12,9,840,2,2,5,1
69,70,1,1,7,5,5,4,4,4,5,5,3,5,5,1,5,4,5,12,9,820,1,3,1,2
71,72,1,1,6,4,5,4,4,5,5,4,4,5,4,0,2,2,3,12,9,897,2,3,3,1
79,80,1,1,7,5,5,5,5,5,5,4,4,5,5,1,5,4,5,12,9,850,2,2,8,1
94,95,1,1,5,3,5,5,5,5,5,5,4,5,5,0,4,3,5,12,9,904,2,3,5,1
120,121,1,1,7,4,5,5,5,5,4,4,5,5,5,1,5,5,5,12,9,825,2,2,8,1
121,122,1,1,1,5,5,5,4,5,5,5,5,5,5,1,5,4,5,12,9,831,2,2,3,1
147,148,1,1,7,5,4,4,3,4,4,3,2,4,5,0,3,3,4,12,9,803,1,3,8,2
148,149,1,1,7,4,5,4,5,5,5,5,4,4,4,1,5,4,5,12,9,934,2,2,8,1
151,152,1,1,5,5,4,5,5,5,5,5,4,5,5,0,5,4,5,12,9,805,1,2,1,2
165,166,1,1,6,4,4,4,4,4,4,4,4,4,4,0,4,3,4,12,9,821,1,3,4,3
166,167,1,1,7,4,5,5,5,5,5,4,4,5,5,0,5,5,5,12,9,824,2,2,8,0
204,205,1,1,1,5,4,4,4,5,5,5,5,5,5,1,5,5,5,12,9,816,1,2,2,3
209,210,1,1,1,5,5,5,4,5,5,5,5,4,5,1,5,5,5,12,9,803,2,2,9,3
276,277,1,1,7,5,5,4,4,4,4,4,4,5,5,0,4,4,4,12,9,817,1,3,8,2
328,329,2,2,6,3,4,3,4,4,5,3,4,4,4,0,4,3,4,12,9,811,1,3,2,1
342,343,2,3,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,916,2,3,2,2
344,345,2,4,6,4,4,4,4,4,4,4,3,4,4,0,3,4,4,12,9,832,1,3,1,3
345,346,1,1,6,3,3,3,4,5,3,2,3,3,5,1,5,3,4,12,9,828,2,2,2,1
348,349,2,2,4,5,3,5,5,5,5,5,5,5,5,1,5,5,5,12,9,803,2,3,9,0
364,365,2,4,6,5,5,5,5,5,4,5,4,4,5,1,5,5,5,12,9,843,1,3,1,3
369,370,1,1,6,5,5,5,5,5,3,3,5,4,4,0,4,4,4,12,9,855,1,3,2,1
386,387,1,1,6,5,5,5,5,4,5,5,4,4,5,1,5,5,5,12,9,811,2,3,4,3
387,388,2,2,6,4,5,3,5,4,4,4,3,3,5,1,5,5,5,12,9,921,1,2,4,3
388,389,1,1,7,3,5,4,3,5,5,5,3,5,5,1,5,4,4,12,9,858,2,2,8,0
390,391,2,4,1,4,4,5,5,5,5,5,4,5,5,1,5,4,5,12,9,888,1,2,2,3
392,393,2,4,6,5,5,5,5,5,4,5,4,5,5,1,5,5,5,12,9,803,1,3,2,2
416,417,1,1,6,4,4,4,5,5,4,4,4,4,4,0,4,4,4,12,9,883,2,2,2,1
417,418,2,2,5,5,5,4,5,5,5,5,4,4,5,1,5,3,5,12,9,814,1,2,2,5
418,419,2,3,5,5,5,5,5,5,5,5,5,5,5,1,5,5,4,12,9,846,2,2,8,1
421,422,2,2,5,4,4,4,4,4,4,4,4,4,4,1,5,4,4,12,9,847,1,2,2,4
442,443,1,1,6,5,5,5,5,5,5,5,5,5,5,0,4,4,4,12,9,811,1,2,2,2
446,447,1,1,1,5,5,5,5,5,5,5,5,4,5,1,5,4,4,12,9,809,2,2,4,1
451,452,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,841,2,2,8,1
468,469,2,2,6,5,5,5,5,5,5,5,5,5,5,0,5,3,5,12,9,829,1,2,2,4
480,481,2,2,6,3,5,5,5,4,5,5,4,3,5,1,5,3,4,12,9,823,2,2,12,1
481,482,1,1,6,4,3,4,3,3,4,3,2,3,3,1,5,2,4,12,9,830,1,2,2,2
485,486,2,4,5,5,5,5,5,5,5,5,4,3,5,1,5,4,4,12,9,807,1,2,2,3
492,493,1,1,6,5,5,5,5,5,5,5,4,4,5,0,5,4,5,12,9,967,1,2,5,3
498,499,1,1,5,5,5,4,5,5,4,4,4,4,5,1,5,4,4,12,9,805,2,3,4,1
527,528,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,4,5,12,9,801,2,3,6,4
735,736,1,1,1,5,4,4,4,4,4,4,3,3,4,1,5,4,4,12,9,813,2,2,3,4
741,742,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,832,1,2,1,2
746,747,1,1,7,3,5,3,5,4,3,4,3,2,5,0,4,4,4,12,9,862,1,2,8,1
753,754,1,1,6,4,5,3,5,3,5,4,3,2,5,1,4,4,4,12,9,813,2,3,5,2
764,765,1,1,7,4,4,4,5,5,4,4,5,4,5,1,5,4,4,12,9,887,2,2,8,0
771,772,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,9,835,1,1,1,0
