,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
0,1,2,3,6,0,1,0,1,0,0,0,0,0,1,0,0,0,0,12,12,1328,1,3,3,4
2,3,1,1,6,1,1,1,1,1,1,1,1,1,1,0,1,0,1,12,12,1304,1,1,99,2
9,10,1,1,6,1,1,0,0,1,1,0,0,1,1,0,1,0,1,12,14,1703,2,1,4,0
21,22,1,1,6,1,1,0,0,1,1,0,0,1,1,0,1,0,1,12,16,5513,1,2,2,3
23,24,2,4,6,0,0,0,0,0,0,0,0,1,1,0,1,1,1,12,10,1002,1,3,2,3
24,25,2,2,6,0,0,1,1,1,1,1,0,0,1,0,1,0,1,12,8,609,1,2,6,4
34,35,2,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,3,401,1,2,7,2
44,45,1,1,6,1,1,0,0,1,1,1,0,0,1,0,0,0,1,12,15,6474,2,2,3,1
47,48,1,1,6,1,1,1,0,0,1,1,0,0,1,0,1,0,1,12,11,1102,2,3,7,3
51,52,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,11,1272,2,3,12,1
60,61,2,2,6,0,1,1,0,1,1,1,0,0,1,0,1,0,1,12,16,6296,1,2,2,1
61,62,1,1,6,0,1,0,0,0,1,1,0,0,1,0,0,0,1,12,16,6296,1,3,5,2
71,72,1,1,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,12,9,897,2,3,3,1
83,84,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,15,5020,1,1,8,0
89,90,2,2,6,0,1,1,1,1,0,0,0,1,1,0,1,0,1,12,13,1501,2,3,5,1
97,98,1,1,6,1,0,0,0,0,0,0,0,0,1,0,1,1,1,12,8,605,1,2,7,3
105,106,2,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,8,608,2,3,8,1
111,112,2,2,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,11,1101,1,3,5,2
112,113,2,4,6,0,1,1,0,0,1,1,0,0,1,0,0,1,1,12,11,1102,1,2,6,3
115,116,2,4,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,8,613,1,2,5,3
119,120,1,1,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,15,5073,1,2,6,2
122,123,1,1,6,0,0,0,1,1,0,0,0,0,1,0,1,0,1,12,8,601,2,1,7,0
131,132,1,1,6,1,1,1,1,1,0,0,0,0,1,0,0,0,1,12,16,5513,1,3,7,2
132,133,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,16,6296,1,3,2,2
134,135,2,4,6,1,1,0,0,0,0,1,0,0,1,0,1,0,0,12,97,5809,1,2,5,2
135,136,2,4,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,12,12,1306,1,2,3,3
143,144,2,4,6,1,1,0,0,0,1,0,0,0,1,0,0,0,1,12,10,1002,2,3,9,2
150,151,2,2,6,0,1,0,0,0,0,0,0,0,1,0,0,0,1,12,97,5042,1,2,6,2
152,153,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,12,1311,1,2,3,4
155,156,2,4,6,0,0,1,1,0,1,0,0,0,0,0,1,0,0,12,14,1701,1,2,5,2
156,157,1,1,6,1,0,1,0,1,1,0,0,0,1,0,0,0,1,12,14,1701,1,3,2,1
159,160,2,2,6,1,1,1,1,0,0,1,0,0,1,0,0,1,0,12,12,1304,1,1,3,1
160,161,1,1,6,1,0,1,0,1,1,1,0,0,1,0,0,0,1,12,14,1709,2,2,2,1
163,164,2,2,6,0,0,0,1,0,0,0,0,0,1,0,1,0,1,12,97,5068,1,3,4,3
165,166,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,821,1,3,4,3
239,240,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,1443,1,2,2,1
245,246,2,4,6,1,1,1,1,1,1,1,0,1,1,0,0,1,1,12,16,5513,1,3,2,3
280,281,2,4,6,1,1,1,0,0,0,0,0,0,1,0,0,1,1,12,14,1728,1,2,3,2
303,304,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,14,1741,1,2,7,2
324,325,1,1,6,0,1,1,0,1,1,1,0,0,1,0,1,0,1,12,12,1302,2,3,5,2
328,329,2,2,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,9,811,1,3,2,1
331,332,1,1,6,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12,97,5017,1,2,2,1
335,336,1,1,6,0,0,0,0,0,0,0,0,0,1,0,1,1,1,12,16,5520,1,3,2,2
338,339,1,1,6,1,1,1,1,1,1,1,0,1,1,0,1,0,1,12,11,1158,1,3,5,2
342,343,2,3,6,1,1,1,1,1,1,1,1,1,1,0,1,1,1,12,9,916,2,3,2,2
343,344,1,1,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,12,10,1002,2,3,2,1
344,345,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,832,1,3,1,3
