,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
4059,4060,2,2,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,8,3,401,1,1,4,3
4060,4061,1,1,7,1,1,1,0,1,1,1,0,1,1,1,1,1,1,8,16,5513,1,2,7,2
4061,4062,2,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,8,3,401,2,2,8,0
4062,4063,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,401,2,2,9,2
4063,4064,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,7,5001,2,2,5,1
4064,4065,1,1,4,1,0,0,0,1,1,1,1,1,1,0,0,1,0,8,7,5001,1,2,2,2
4065,4066,1,1,5,0,0,1,1,0,1,0,0,1,1,0,1,0,0,8,8,601,2,2,2,1
4066,4067,2,2,7,0,1,0,0,0,1,0,0,0,1,1,1,0,1,8,9,903,1,2,8,1
4068,4069,1,1,7,1,1,1,0,1,1,1,0,0,1,1,1,0,1,8,4,402,2,3,5,3
4069,4070,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,402,2,2,2,4
4070,4071,2,4,6,1,1,1,0,0,1,0,1,1,1,1,1,1,1,8,9,855,2,2,8,0
4071,4072,1,1,5,1,0,0,0,1,1,0,0,0,1,1,1,0,0,8,10,1002,1,3,2,1
4072,4073,2,4,3,1,1,0,1,0,1,1,0,0,1,1,1,1,1,8,97,5182,1,3,2,3
4073,4074,2,4,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,6,701,2,2,8,1
4074,4075,1,1,6,1,1,1,1,0,1,1,0,0,1,0,1,0,0,8,9,851,1,2,2,4
4075,4076,1,1,6,1,1,1,1,1,0,0,0,0,1,0,0,0,0,8,12,1303,1,2,5,1
4077,4078,2,2,5,1,1,1,0,1,1,1,0,1,1,1,1,1,1,8,97,5156,2,3,5,5
4078,4079,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,8,11,1101,2,3,12,1
4079,4080,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,97,5018,1,2,5,3
4080,4081,2,4,1,0,1,0,1,1,1,0,0,0,0,1,1,1,1,8,6,701,1,3,2,2
4081,4082,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,8,6,701,2,2,5,1
4082,4083,1,1,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1,8,11,1101,2,2,8,1
4083,4084,2,4,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,8,6,701,2,3,4,1
4084,4085,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,501,2,2,3,2
4085,4086,2,2,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,8,3,401,2,2,3,3
4086,4087,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,401,2,1,8,0
4089,4090,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,8,7,5001,2,4,2,1
4090,4091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,5001,1,1,8,0
