,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
196,197,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,12,2,203,1,2,3,2
197,198,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,235,2,2,8,1
210,211,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,12,2,202,1,2,3,2
215,216,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,12,2,202,1,2,4,2
222,223,1,1,7,0,0,0,0,1,0,0,0,0,0,0,1,1,1,12,2,214,2,2,8,1
529,530,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,12,2,205,2,2,3,2
530,531,2,4,6,1,1,1,0,1,0,1,1,1,1,1,1,1,1,12,2,205,2,2,4,2
531,532,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,205,2,2,3,2
532,533,2,2,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,12,2,283,1,4,7,2
533,534,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,12,2,220,1,2,1,1
534,535,1,1,4,1,1,0,1,1,1,1,1,1,1,1,1,0,1,12,2,205,1,2,6,1
535,536,2,2,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,12,2,202,2,2,7,1
536,537,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,202,2,2,4,2
537,538,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,220,2,2,5,2
538,539,2,4,5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,210,1,2,7,1
539,540,2,2,5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,12,2,210,1,2,7,1
540,541,1,1,7,1,1,1,0,1,0,0,0,0,1,0,0,0,0,12,2,254,2,2,8,1
541,542,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,2,205,1,2,7,2
542,543,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,231,2,1,9,3
543,544,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,12,2,220,2,3,3,1
550,551,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,205,1,2,6,1
551,552,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,12,2,205,2,2,3,1
552,553,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,205,2,1,10,4
553,554,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,205,1,2,7,2
554,555,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,12,2,220,2,2,12,1
555,556,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,12,2,205,1,3,8,1
556,557,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,205,1,2,6,1
557,558,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,12,2,220,2,1,1,3
558,559,2,4,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,12,2,205,2,2,2,1
565,566,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2,254,2,2,3,2
566,567,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,12,2,202,2,2,3,1
571,572,2,2,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,12,2,228,2,2,3,1
572,573,2,4,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,12,2,210,1,2,4,1
573,574,2,4,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,12,2,212,2,2,4,1
574,575,1,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12,2,236,1,2,8,1
575,576,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,218,1,2,3,1
576,577,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,218,2,2,7,2
577,578,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,2,206,2,2,7,1
578,579,2,4,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,12,2,201,2,2,3,2
580,581,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,205,2,2,3,1
581,582,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,205,2,2,3,2
582,583,2,2,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,205,2,2,8,1
583,584,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,215,1,2,7,1
584,585,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,205,2,2,7,2
593,594,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,218,2,2,7,2
596,597,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,219,1,2,4,1
608,609,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,240,2,2,1,2
612,613,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,203,2,2,9,3
613,614,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12,2,204,2,3,5,1
614,615,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,229,2,2,4,2
615,616,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,218,1,2,4,1
616,617,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,12,2,229,1,2,4,1
617,618,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,2,229,1,2,4,1
618,619,2,4,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,12,2,201,2,2,3,1
619,620,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,12,2,218,2,2,7,2
620,621,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,229,2,2,4,1
621,622,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,12,2,218,2,2,4,1
632,633,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,12,2,234,2,2,3,2
633,634,1,1,7,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,234,2,2,8,0
634,635,2,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,12,2,234,1,2,2,2
635,636,1,1,4,1,1,1,0,0,0,0,0,0,1,1,1,0,1,12,2,240,2,2,5,1
636,637,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,240,2,2,3,1
638,639,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,212,1,1,2,3
639,640,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,1,2,3,2
640,641,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,201,1,2,12,1
642,643,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,3,3
643,644,2,2,4,1,1,1,0,1,1,0,0,0,1,1,0,1,1,12,2,201,2,2,3,1
644,645,2,4,7,1,0,1,0,0,0,0,0,0,1,0,0,0,1,12,2,212,1,2,8,1
649,650,2,4,7,1,1,0,1,1,1,0,1,1,1,1,1,1,1,12,2,229,1,2,8,1
650,651,1,1,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,201,2,2,7,2
689,690,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12,2,201,2,2,3,1
690,691,2,2,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,12,2,201,1,2,7,2
694,695,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,202,2,2,4,2
695,696,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,4,1
696,697,2,3,4,1,0,0,0,1,0,0,0,0,1,0,0,0,0,12,2,201,2,2,4,1
697,698,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,6,2
717,718,2,4,6,1,1,1,1,1,1,1,1,1,1,1,0,0,1,12,2,201,1,2,7,3
873,874,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,2,4,1
874,875,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,4,2
875,876,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,12,2,254,2,2,5,1
876,877,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,2,12,1
877,878,2,2,4,1,1,1,0,1,1,1,0,1,1,0,0,0,1,12,2,215,2,1,5,1
878,879,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2,201,2,2,3,1
879,880,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,2,254,1,1,4,1
880,881,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,8,1
881,882,2,4,4,1,1,1,1,1,1,1,0,1,1,0,0,1,1,12,2,210,1,3,4,1
882,883,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,12,1
883,884,2,4,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,12,2,218,2,2,11,1
884,885,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,9,2
885,886,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,1,2,11,2
886,887,2,4,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,12,2,211,2,4,3,1
887,888,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,12,2,201,1,2,3,1
888,889,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,2,5,1
889,890,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,254,2,2,4,1
890,891,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,2,8,1
891,892,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,206,1,2,5,1
892,893,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,12,2,321,2,2,8,0
893,894,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,321,1,2,7,1
894,895,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,201,2,2,12,1
895,896,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,1,2,5,1
896,897,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,4,2
897,898,2,2,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,12,2,201,2,1,3,1
898,899,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,12,2,201,1,2,5,2
899,900,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,217,2,2,12,1
900,901,1,1,6,1,1,1,1,1,1,0,0,1,1,0,1,1,1,12,2,217,1,2,3,1
901,902,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,12,2,217,1,3,6,1
902,903,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,231,1,2,3,2
903,904,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,2,231,1,2,5,1
904,905,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,2,216,2,2,3,1
905,906,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,217,2,2,5,1
906,907,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,217,2,2,3,1
907,908,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,12,2,209,2,2,8,1
908,909,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,12,2,211,1,2,7,1
909,910,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,3,3,1
910,911,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2,222,2,2,8,1
911,912,2,4,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,12,2,291,2,2,12,1
912,913,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,2,2,4,2
913,914,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,12,2,206,2,2,8,1
914,915,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,313,2,2,3,1
915,916,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,313,2,2,12,1
916,917,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,313,1,2,3,1
917,918,2,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,12,2,222,2,2,12,1
918,919,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,12,2,219,2,2,11,1
919,920,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,12,2,201,2,2,7,2
920,921,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12,2,245,2,2,3,1
921,922,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,245,2,2,11,1
922,923,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,215,2,1,7,2
923,924,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,11,1
924,925,2,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,2,209,1,1,7,2
925,926,2,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,12,2,201,2,2,3,2
926,927,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,3,2
927,928,2,2,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,12,2,209,2,2,5,1
928,929,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,1,2,4,1
929,930,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,2,321,1,1,5,2
930,931,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,321,1,2,7,2
931,932,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,245,1,2,7,2
932,933,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,321,1,1,7,2
933,934,2,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,12,2,321,1,1,7,2
934,935,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,321,1,2,12,2
935,936,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,12,2,209,1,2,3,2
936,937,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,321,2,2,3,3
937,938,2,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,2,209,1,2,1,2
938,939,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,12,2,321,1,2,5,1
939,940,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,217,2,2,3,1
940,941,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,217,2,2,3,2
943,944,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,201,2,2,4,1
945,946,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,202,2,2,3,1
946,947,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,210,2,2,7,1
947,948,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,220,2,2,8,0
949,950,2,3,4,1,1,1,0,0,1,1,0,0,1,0,0,0,0,12,2,210,2,3,8,1
950,951,2,2,7,0,0,0,0,0,1,1,0,0,0,1,0,0,1,12,2,236,2,2,8,0
951,952,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,240,1,2,8,1
952,953,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,206,1,2,3,1
953,954,2,4,4,1,1,1,0,1,1,1,0,1,1,1,1,0,1,12,2,220,2,2,9,1
954,955,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,12,2,224,2,2,8,0
955,956,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,224,1,1,4,1
956,957,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,210,2,2,8,1
957,958,2,3,4,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,206,2,2,11,1
958,959,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,215,2,2,8,1
959,960,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,215,1,2,8,1
960,961,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,209,2,2,12,2
961,962,2,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,2,231,2,2,7,1
963,964,1,1,4,1,1,1,0,0,0,1,1,1,1,1,1,1,1,12,2,231,1,2,3,1
964,965,2,3,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,12,2,231,1,2,7,1
965,966,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,231,2,2,8,1
966,967,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,212,1,2,6,1
967,968,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,318,2,2,8,1
968,969,1,1,7,0,1,1,0,0,1,1,1,0,1,0,1,0,0,12,2,254,2,2,8,1
969,970,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,220,2,3,8,1
970,971,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,202,2,2,12,1
971,972,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,12,2,217,2,2,8,0
981,982,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,210,1,2,6,1
982,983,2,2,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,12,2,212,1,3,2,1
983,984,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,2,210,2,2,3,1
984,985,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,201,2,2,3,1
985,986,2,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12,2,229,2,3,5,1
986,987,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,12,2,212,2,2,8,1
987,988,2,3,5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,12,2,212,1,2,4,1
989,990,2,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12,2,220,1,2,3,1
990,991,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,210,2,4,3,1
991,992,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,12,2,210,1,2,7,2
992,993,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,12,2,227,1,2,8,0
993,994,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,2,218,2,2,8,1
994,995,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12,2,232,2,2,4,1
995,996,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,218,2,2,8,0
996,997,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,210,2,2,7,1
997,998,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,210,2,2,7,0
998,999,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,2,210,1,2,6,1
999,1000,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,224,2,2,11,2
1000,1001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,12,2,224,2,1,7,4
