,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
279,280,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,12,15,5540,2,3,2,1
546,547,2,3,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,12,5,504,2,2,3,2
1158,1159,1,1,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,11,15,5284,1,2,1,1
1190,1191,2,4,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,11,1,12,1,3,1,3
1209,1210,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,0,1,11,15,5284,2,2,7,3
1298,1299,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,701,2,3,2,1
1376,1377,2,2,2,1,1,1,1,1,1,1,1,0,1,1,0,0,1,11,14,1718,2,2,7,1
1504,1505,1,1,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,11,14,1703,1,2,1,3
1508,1509,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,11,15,5540,2,3,3,2
2137,2138,1,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,10,15,5166,1,2,1,2
2223,2224,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,10,14,1704,1,2,2,2
2489,2490,2,3,2,1,1,1,1,1,1,1,0,0,1,0,0,1,1,10,14,1702,1,2,10,4
2515,2516,1,1,2,0,1,1,1,1,0,1,1,0,0,1,1,1,1,10,6,701,2,3,7,3
2630,2631,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,1,1,10,2,201,1,1,4,1
2667,2668,2,4,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,10,2,202,2,2,5,1
3212,3213,1,1,2,0,1,1,0,0,1,0,0,0,1,1,0,0,1,9,14,1702,1,3,1,1
3472,3473,2,3,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,9,14,1703,1,2,10,4
3504,3505,1,1,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,9,15,5536,1,3,7,3
3719,3720,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,218,2,2,2,3
3899,3900,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,6,731,1,2,3,1
3960,3961,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,14,1702,2,1,10,5
3965,3966,1,1,2,1,1,1,0,0,0,1,0,0,1,1,1,0,1,9,7,6035,1,3,2,1
4100,4101,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,8,6,701,2,2,7,1
4130,4131,2,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1,2,2,2,8,1
4207,4208,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,14,1808,2,2,5,1
4263,4264,1,1,2,1,1,1,0,1,1,1,0,0,1,0,0,1,1,8,14,1701,1,2,7,1
4369,4370,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,1001,1,2,5,2
4436,4437,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,8,11,1101,1,3,2,4
4466,4467,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,5536,1,3,3,2
4491,4492,2,4,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,15,5536,1,3,3,4
4941,4942,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,6,701,2,2,8,1
5400,5401,2,2,2,1,1,1,0,0,1,1,0,0,1,1,0,1,1,7,15,5402,1,3,7,2
5452,5453,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,7,7,5548,2,2,8,0
5716,5717,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,15,5540,2,2,9,5
5742,5743,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,10,1002,2,2,8,0
6079,6080,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,0,6,6,701,1,1,4,2
6378,6379,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,819,2,3,2,4
6427,6428,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,15,5540,1,2,3,2
6565,6566,2,2,2,0,1,0,0,1,1,0,0,1,1,1,0,0,1,6,2,214,1,1,2,2
6645,6646,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,202,2,1,12,1
6647,6648,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,2,202,2,2,8,2
6890,6891,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,0,0,6,2,319,2,2,7,2
6980,6981,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,6,5,502,2,2,8,0
7052,7053,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6035,1,3,1,3
7119,7120,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,5,9,802,2,2,11,2
7126,7127,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,12,2,1,1,3
7165,7166,1,1,2,1,1,1,1,1,0,0,0,0,1,1,0,0,1,5,14,1708,2,2,3,2
7273,7274,1,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,5,97,6358,2,2,7,1
7321,7322,1,1,2,0,0,1,0,1,1,1,0,0,0,0,0,0,0,5,10,1001,2,2,3,1
7408,7409,2,3,2,0,0,1,1,0,0,0,0,0,1,0,0,1,1,5,15,5536,1,2,7,2
7465,7466,1,1,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,5,15,5536,1,2,7,4
7467,7468,2,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,5,15,5540,2,1,7,4
7664,7665,2,3,2,1,0,0,0,1,1,1,0,0,0,1,1,1,1,5,2,218,2,2,7,2
7665,7666,1,1,2,1,0,0,1,0,1,0,1,1,1,1,1,0,1,5,2,218,2,2,5,1
7788,7789,2,2,2,0,0,1,1,0,1,1,0,0,0,1,1,1,1,5,14,1702,2,2,2,3
7883,7884,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,5,15,5536,2,2,9,3
7901,7902,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,224,1,1,3,2
8083,8084,2,4,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,2,2,2,4,1
8132,8133,2,4,2,1,1,0,1,1,1,1,0,0,1,0,1,1,1,4,14,1710,1,3,7,2
8337,8338,1,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,1,4,15,5536,2,2,3,2
8426,8427,2,2,2,0,1,1,0,1,0,1,0,0,1,1,1,1,1,4,15,5540,2,3,3,1
8477,8478,2,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,15,5536,2,3,8,1
9373,9374,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,15,5536,2,2,9,1
9374,9375,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,5536,1,3,7,3
9424,9425,2,3,2,1,0,0,0,1,0,0,0,0,1,0,0,0,1,3,15,5536,1,3,7,2
9637,9638,2,3,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2,201,1,1,7,2
9789,9790,1,1,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,3,14,1702,1,2,2,2
9814,9815,2,4,2,0,1,1,1,1,1,1,0,0,1,1,1,1,1,3,14,1702,2,2,9,2
10403,10404,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,701,2,3,3,2
10413,10414,1,1,2,1,1,1,0,1,1,1,0,1,1,0,0,1,1,2,15,5536,2,2,7,3
10414,10415,1,1,2,1,1,0,0,1,1,1,0,0,1,0,0,0,1,2,15,5536,2,2,7,2
10416,10417,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5536,2,2,2,3
10419,10420,2,4,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,15,5536,1,2,2,3
10420,10421,2,4,2,1,1,1,1,1,0,0,1,0,1,1,1,1,1,2,97,5536,2,2,2,2
10437,10438,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,15,5536,2,3,2,2
10438,10439,1,1,2,1,1,1,0,0,1,1,1,0,1,1,1,0,0,2,15,5536,2,1,8,0
10439,10440,1,1,2,1,1,1,1,1,0,0,0,1,1,0,0,0,1,2,15,5536,1,2,7,3
10440,10441,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,5536,1,3,2,4
10441,10442,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,15,5536,1,3,2,2
10464,10465,1,1,2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,2,15,5536,1,2,2,2
