,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
13,14,1,1,4,4,5,4,5,4,4,4,2,3,3,0,4,5,4,12,7,5001,2,2,8,1
56,57,2,4,4,2,5,5,5,5,4,4,4,5,4,1,5,4,5,12,3,401,2,2,12,3
58,59,2,3,4,4,4,5,5,5,3,2,3,3,5,1,5,5,4,12,3,401,2,3,3,1
68,69,1,1,4,5,5,5,3,5,5,5,3,4,5,0,4,4,4,12,7,5001,2,2,11,0
81,82,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,15,5536,2,2,1,1
90,91,1,1,4,5,4,5,4,5,4,3,4,4,4,0,4,4,4,12,8,603,2,2,8,1
93,94,2,2,4,4,4,5,4,5,5,5,5,4,5,0,4,4,5,12,4,402,2,2,3,1
99,100,2,2,4,5,5,4,5,5,5,5,4,4,5,1,4,5,5,12,6,701,2,2,3,1
113,114,1,1,4,4,4,4,5,5,4,4,4,4,4,0,4,4,4,12,4,402,2,1,4,1
118,119,2,2,4,4,5,4,3,4,3,4,3,3,5,0,4,3,4,12,10,1002,2,2,1,1
247,248,1,1,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,12,1,18,2,1,8,0
248,249,2,3,4,4,4,4,4,5,4,3,3,4,4,0,4,4,4,12,1,1,2,2,8,1
260,261,2,2,4,3,3,3,5,4,4,4,4,4,3,0,3,3,4,12,1,1,1,2,8,0
265,266,1,1,4,4,4,4,5,5,5,5,4,5,5,1,5,5,5,12,6,701,2,3,1,1
273,274,2,3,4,4,3,3,3,4,4,4,3,3,3,0,3,4,4,12,14,1752,2,1,7,1
311,312,2,2,4,3,3,3,5,5,3,3,3,5,3,0,3,3,4,12,1,1,1,2,4,1
313,314,2,2,4,3,3,3,4,4,3,3,4,3,2,0,4,3,3,12,1,3,2,2,7,2
314,315,2,4,4,3,3,3,5,5,3,3,3,5,5,1,5,5,5,12,1,32,2,2,7,4
315,316,2,2,4,4,4,4,4,4,3,4,3,5,5,1,5,3,5,12,1,4,2,2,4,1
317,318,1,1,4,4,4,4,4,3,3,4,4,4,4,0,4,4,4,12,1,39,1,2,8,0
319,320,2,2,4,4,3,3,4,4,4,4,4,4,4,0,4,4,4,12,1,1,2,2,4,3
348,349,2,2,4,5,3,5,5,5,5,5,5,5,5,1,5,5,5,12,9,803,2,3,9,0
370,371,2,3,4,4,4,4,3,4,4,5,4,3,5,0,3,3,3,12,3,401,1,3,3,2
434,435,1,1,4,2,5,5,5,5,5,5,4,3,5,1,5,3,5,12,14,1703,1,2,7,1
482,483,1,1,4,4,4,4,4,4,4,4,4,4,4,1,5,5,5,12,3,401,2,2,8,0
484,485,2,4,4,3,4,4,4,3,4,3,2,3,4,0,4,3,3,12,3,401,2,1,4,1
509,510,2,3,4,4,5,5,5,5,4,5,5,4,5,0,4,5,5,12,14,1703,2,2,2,1
534,535,1,1,4,5,5,4,5,5,5,5,5,5,5,1,5,4,5,12,2,205,1,2,6,1
535,536,2,2,4,4,5,5,5,5,4,4,3,2,3,0,4,4,3,12,2,202,2,2,7,1
536,537,1,1,4,3,4,4,4,4,4,4,4,4,4,0,4,3,4,12,2,202,2,2,4,2
548,549,2,3,4,5,5,5,4,5,5,5,5,5,5,1,5,4,5,12,5,504,2,2,3,2
553,554,1,1,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,2,205,1,2,7,2
575,576,1,1,4,4,3,4,3,4,4,4,1,4,4,0,3,4,3,12,2,218,1,2,3,1
576,577,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,2,218,2,2,7,2
579,580,1,1,4,5,5,5,5,5,5,5,3,4,5,1,5,5,5,12,5,501,2,3,3,2
580,581,1,1,4,4,4,4,4,4,4,4,3,4,4,0,4,4,4,12,2,205,2,2,3,1
593,594,1,1,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4,12,2,218,2,2,7,2
627,628,1,1,4,4,4,5,4,5,5,4,3,3,4,0,5,5,5,12,3,401,2,2,4,1
632,633,1,1,4,5,5,5,5,5,5,5,5,5,5,0,4,5,5,12,2,234,2,2,3,2
635,636,1,1,4,5,5,5,4,4,4,4,4,4,5,1,5,3,5,12,2,240,2,2,5,1
636,637,2,4,4,4,3,4,4,2,2,4,2,2,4,0,4,4,3,12,2,240,2,2,3,1
639,640,1,1,4,4,4,4,4,4,4,4,4,4,4,0,3,4,3,12,2,201,1,2,3,2
643,644,2,2,4,5,5,5,4,5,5,4,4,4,5,1,4,5,5,12,2,201,2,2,3,1
650,651,1,1,4,5,5,5,5,5,5,5,5,5,5,0,4,4,4,12,2,201,2,2,7,2
651,652,2,4,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,5,501,1,2,1,2
660,661,1,1,4,5,5,5,5,5,5,3,3,5,5,1,5,5,5,12,1,1,2,3,3,2
664,665,2,2,4,3,3,4,4,4,3,4,2,3,4,0,4,4,4,12,1,9,1,2,4,1
667,668,2,3,4,4,3,4,5,4,3,4,3,3,3,1,5,4,4,12,1,1,2,2,3,1
692,693,2,2,4,4,3,4,5,5,5,3,3,4,4,1,4,4,5,12,1,1,2,2,9,4
695,696,1,1,4,4,4,3,3,3,3,3,3,4,4,0,4,4,4,12,2,201,2,2,4,1
696,697,2,3,4,5,4,4,4,5,3,4,3,4,5,0,4,4,4,12,2,201,2,2,4,1
699,700,1,1,4,3,3,3,3,3,3,3,3,4,3,0,4,4,4,12,1,2,2,2,8,0
715,716,2,4,4,3,3,4,4,4,3,3,3,3,3,1,4,4,4,12,1,2,2,2,4,2
723,724,2,2,4,4,3,4,4,4,5,3,2,4,5,1,5,5,5,12,3,401,1,2,3,2
824,825,1,1,4,4,4,4,3,4,4,4,5,4,4,0,4,4,4,12,3,401,2,2,8,2
833,834,2,3,4,3,5,5,5,5,5,5,5,5,5,1,5,5,5,12,6,701,2,2,7,2
873,874,2,3,4,4,4,4,4,3,4,4,4,4,4,0,4,4,4,12,2,206,2,2,4,1
874,875,2,3,4,4,4,3,4,4,3,3,4,4,4,0,4,4,4,12,2,201,2,2,4,2
876,877,2,4,4,4,4,4,1,4,4,4,4,4,4,0,2,3,3,12,2,206,2,2,12,1
877,878,2,2,4,5,5,5,3,5,5,5,4,5,5,0,4,4,5,12,2,215,2,1,5,1
880,881,2,4,4,4,4,4,3,4,4,4,4,4,4,0,4,4,4,12,2,209,2,2,8,1
881,882,2,4,4,5,5,5,5,5,5,5,3,5,5,0,4,5,5,12,2,210,1,3,4,1
882,883,2,2,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,12,2,209,2,2,12,1
885,886,2,3,4,4,3,4,4,4,4,3,3,3,4,0,3,4,3,12,2,209,1,2,11,2
