,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
4235,4236,1,1,6,4,4,4,4,4,4,4,3,4,4,0,4,3,3,8,12,1301,1,3,5,4
11150,11151,2,4,6,5,5,5,5,5,4,4,4,4,4,1,5,4,4,1,4,402,1,2,2,4
3452,3453,2,4,6,4,5,5,5,4,4,4,4,4,5,0,4,4,4,9,15,5403,1,2,7,3
403,404,1,1,6,3,4,5,4,4,3,3,4,5,4,0,4,4,2,12,14,1701,1,2,2,2
5096,5097,1,1,6,4,4,4,3,4,3,3,1,3,3,0,2,4,2,7,10,1013,2,2,4,1
2376,2377,2,4,6,4,4,4,4,4,4,4,4,4,4,0,4,4,4,10,7,6035,2,2,5,1
8642,8643,2,2,6,3,5,4,4,5,4,5,5,5,5,0,4,4,4,4,2,242,1,3,3,1
9040,9041,1,1,6,4,4,4,3,4,3,3,2,2,4,0,2,4,2,3,9,813,1,1,6,1
10853,10854,2,4,6,1,4,5,5,4,4,4,4,4,4,1,5,5,5,2,3,401,2,2,2,4
1048,1049,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,11,10,1001,1,3,10,5
111,112,2,2,6,5,5,5,5,5,5,5,5,5,5,1,5,5,5,12,11,1101,1,3,5,2
4397,4398,1,1,6,5,5,5,2,3,3,3,4,3,5,0,3,3,4,8,11,1101,1,3,2,3
3541,3542,1,1,6,5,3,5,5,4,4,3,2,2,5,0,4,4,4,9,9,840,2,3,2,3
122,123,1,1,6,4,4,4,5,5,4,3,2,4,5,1,5,3,5,12,8,601,2,1,7,0
7674,7675,1,1,6,5,5,5,4,4,4,4,3,3,5,0,4,4,5,5,2,242,1,2,3,3
4115,4116,1,1,6,4,4,4,4,4,5,5,4,4,5,1,5,4,4,8,16,5362,1,2,8,1
2308,2309,1,1,6,5,5,5,5,5,5,5,5,5,5,0,5,4,5,10,11,1112,1,2,5,1
8394,8395,2,4,6,5,5,5,5,5,5,5,4,5,5,1,5,5,5,4,11,1101,1,3,2,3
2492,2493,2,3,6,5,5,4,4,4,4,5,2,3,5,1,4,4,4,10,97,5012,2,2,5,2
11379,11380,1,1,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,1,15,5077,1,1,3,1
8961,8962,2,4,6,5,3,3,4,3,3,3,3,3,3,1,3,3,3,4,1,19,2,2,3,3
6876,6877,1,1,6,4,4,4,4,4,4,4,4,4,4,0,4,4,4,6,2,296,1,2,5,1
2510,2511,1,1,6,5,4,5,5,4,5,5,3,4,5,1,4,3,5,10,9,813,1,4,2,2
8008,8009,2,4,6,4,4,4,5,4,4,3,3,4,5,1,5,5,5,4,11,1101,1,2,2,4
7557,7558,2,2,6,3,3,5,4,3,4,5,3,3,4,0,4,3,4,5,1,1,2,2,5,5
6790,6791,2,2,6,5,4,3,4,4,5,4,3,4,5,1,5,5,5,6,13,1501,1,3,2,3
9736,9737,1,1,6,4,4,4,4,4,4,4,4,4,4,0,4,4,4,3,5,501,2,2,8,1
8207,8208,2,3,6,4,4,4,4,3,3,4,4,3,3,0,4,4,4,4,1,4,1,2,1,2
10779,10780,1,1,6,4,5,5,4,4,5,5,4,5,5,0,5,3,5,2,9,839,2,3,5,4
8766,8767,1,1,6,4,4,4,5,4,4,4,3,3,4,0,5,4,4,4,5,502,1,2,12,2
1852,1853,1,1,6,5,4,5,5,5,5,4,4,4,5,0,4,4,4,11,3,401,1,3,4,3
159,160,2,2,6,5,5,5,5,3,3,5,2,4,5,1,4,5,4,12,12,1304,1,1,3,1
7429,7430,2,4,6,5,5,5,5,5,5,5,4,5,5,1,5,4,5,5,11,1101,1,3,7,5
6418,6419,2,2,6,5,5,5,4,4,4,4,4,4,4,0,4,3,4,6,5,505,1,2,6,3
3455,3456,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,9,15,5403,1,2,7,1
1483,1484,2,4,6,4,4,4,4,4,4,4,4,4,4,1,5,4,5,11,15,5077,1,2,7,3
5434,5435,2,4,6,5,5,5,5,5,5,5,5,5,5,1,5,4,5,7,9,873,1,3,2,4
11781,11782,1,1,6,5,5,5,5,5,5,5,5,5,5,0,5,4,5,1,14,1701,1,2,5,2
1726,1727,1,1,6,3,4,5,5,4,5,5,4,5,5,0,4,3,4,11,13,1502,1,3,4,2
1484,1485,2,4,6,4,4,4,4,4,4,4,4,4,4,1,4,4,5,11,15,5037,2,2,7,3
4934,4935,1,1,6,5,4,5,5,5,5,5,3,4,5,1,5,4,5,8,8,603,1,3,2,3
10449,10450,2,4,6,4,4,4,4,4,4,4,4,4,4,1,5,4,4,2,4,402,1,3,2,3
1844,1845,1,1,6,4,4,4,3,4,4,4,3,3,4,0,4,4,4,11,5,518,2,1,9,2
2748,2749,2,2,6,5,5,5,3,3,4,3,2,4,5,0,4,4,4,10,13,1540,1,2,4,3
131,132,1,1,6,5,5,5,5,5,4,4,3,4,5,0,4,3,5,12,16,5513,1,3,7,2
9956,9957,1,1,6,2,4,4,5,3,5,5,4,3,5,0,4,4,4,3,11,1101,1,3,3,2
678,679,2,4,6,3,3,3,4,3,4,3,3,3,3,0,4,3,3,12,1,44,1,2,4,2
7226,7227,2,4,6,4,5,5,5,4,5,5,4,5,5,1,5,5,5,5,12,1301,2,2,3,2
