,NO,q1,q1a,q5,q13a01,q13a02,q13a03,q13a04,q13a05,q13a06,q13a07,q13a08,q13a09,q13a10,q13a11,q13a12,q13a13,q13a14,chasu,nat,city,sex,edu,job,age
4086,4087,2,2,1,4,3,4,4,4,4,4,3,4,4,0,4,4,4,8,3,401,2,1,8,0
1657,1658,1,1,1,4,5,5,5,5,5,5,4,4,4,1,5,4,5,11,5,501,2,2,5,2
1742,1743,2,2,1,4,4,4,4,4,4,4,3,3,3,1,5,4,5,11,4,402,1,2,8,1
9711,9712,1,1,1,4,5,5,5,5,4,5,5,5,5,0,5,5,5,3,2,236,1,2,8,1
658,659,2,4,1,4,4,4,5,5,4,4,4,4,4,0,4,4,4,12,1,1,2,2,3,4
5805,5806,1,1,1,4,3,3,3,3,4,3,2,3,3,0,4,4,4,7,5,502,2,2,4,3
4081,4082,1,1,1,4,5,5,4,5,4,4,3,4,4,0,4,3,4,8,6,701,2,2,5,1
2097,2098,1,1,1,4,4,4,3,4,4,4,3,4,5,0,4,3,4,10,3,401,2,2,4,4
8133,8134,1,1,1,5,5,4,3,4,5,5,3,3,4,1,4,5,5,4,14,1702,1,2,5,1
5499,5500,1,1,1,4,4,5,4,5,4,4,3,4,4,0,4,4,4,7,2,218,2,2,4,1
1480,1481,2,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,11,15,5037,2,2,9,4
11133,11134,1,1,1,4,4,4,4,4,4,4,3,3,4,0,4,3,3,1,3,401,1,2,4,2
5852,5853,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,7,2,201,2,2,3,2
814,815,1,1,1,5,4,4,5,4,5,5,4,5,5,0,5,3,5,12,9,805,2,3,3,2
6346,6347,1,1,1,2,5,5,5,5,5,5,4,4,5,1,5,4,4,6,6,701,2,2,6,3
8345,8346,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,8,613,1,1,3,1
8470,8471,1,1,1,5,4,4,4,5,4,4,4,5,5,0,5,3,5,4,6,701,2,3,3,2
10807,10808,1,1,1,5,5,5,5,5,5,4,3,4,5,0,5,5,5,2,13,1501,1,2,2,1
5756,5757,2,2,1,4,5,3,4,5,5,5,4,3,5,1,5,5,3,7,16,6420,2,2,8,0
5611,5612,1,1,1,4,4,4,3,5,4,5,5,3,4,0,4,4,4,7,5,501,2,2,9,3
10205,10206,2,4,1,4,5,4,4,4,4,4,3,4,4,1,5,4,4,2,3,401,1,3,3,4
7687,7688,2,2,1,5,5,5,5,5,5,5,5,5,5,1,5,3,4,5,5,505,2,1,9,2
1894,1895,1,1,1,4,4,4,3,3,4,4,2,3,4,0,3,4,3,11,2,288,2,1,7,2
9962,9963,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,5,5,3,7,5001,1,2,1,1
1801,1802,2,3,1,5,5,4,5,4,4,4,4,4,5,0,4,5,5,11,6,701,1,3,8,1
1368,1369,1,1,1,4,5,4,5,4,4,4,4,4,5,0,4,4,4,11,11,1150,2,3,5,2
4193,4194,1,1,1,4,4,3,4,3,4,3,2,3,4,0,4,3,4,8,97,5006,2,2,3,1
6253,6254,2,4,1,4,4,3,3,4,4,4,3,4,4,0,4,4,5,6,7,5001,2,2,4,1
5835,5836,1,1,1,4,4,4,5,5,5,4,5,4,4,0,4,4,4,7,4,402,2,2,8,3
7089,7090,1,1,1,5,5,4,5,5,5,5,5,5,5,1,5,5,4,5,9,816,1,2,3,2
4236,4237,1,1,1,3,5,5,4,5,5,5,4,4,5,0,5,5,5,8,12,1355,2,3,2,0
7104,7105,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,7,5001,2,2,4,2
9601,9602,1,1,1,4,5,3,4,4,4,4,4,4,4,0,4,4,4,3,2,201,2,3,12,1
2821,2822,1,1,1,5,5,5,5,5,5,5,5,5,5,0,5,4,4,10,13,1502,1,2,9,3
6547,6548,1,1,1,4,4,4,5,4,4,4,4,3,4,0,4,4,4,6,2,202,1,2,5,1
3184,3185,2,2,1,4,3,4,3,4,4,4,3,4,4,0,4,4,4,9,3,401,2,2,3,1
3917,3918,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,9,10,1001,1,3,5,2
9517,9518,2,2,1,4,4,5,4,4,4,4,4,4,4,0,4,4,4,3,5,504,1,2,6,2
3179,3180,1,1,1,5,5,5,4,4,5,5,5,4,4,1,4,4,4,9,5,501,2,2,3,2
7131,7132,2,2,1,4,4,4,4,5,4,4,3,4,4,1,5,4,5,5,3,401,1,1,1,4
11938,11939,2,4,1,4,3,3,4,4,4,4,3,4,4,1,5,4,4,1,3,401,2,2,12,1
10378,10379,1,1,1,5,5,5,5,5,5,5,5,5,5,0,4,5,5,2,5,501,2,2,8,1
7071,7072,2,3,1,4,4,4,4,4,5,4,4,3,4,0,4,4,4,5,1,8,2,2,7,3
3002,3003,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,10,2,223,2,2,4,1
5781,5782,2,2,1,4,5,5,4,5,5,5,3,4,4,0,4,4,4,7,5,504,2,2,7,2
2183,2184,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,10,2,202,2,1,9,2
8315,8316,2,4,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,3,401,1,1,8,1
8509,8510,1,1,1,4,4,4,4,4,4,4,4,4,4,1,5,4,4,4,5,501,2,2,3,1
5817,5818,2,4,1,5,4,3,4,3,3,2,2,2,4,1,5,5,5,7,10,1002,1,2,4,2
2299,2300,1,1,1,4,4,4,4,4,5,4,4,4,4,0,3,4,4,10,5,519,1,2,9,4
3045,3046,1,1,1,4,3,5,5,5,5,5,3,3,5,1,5,5,5,10,2,209,2,2,8,0
9253,9254,1,1,1,5,4,4,4,4,5,4,3,3,4,0,4,4,4,3,97,5337,2,3,5,2
9904,9905,2,2,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,2,218,2,2,7,1
9508,9509,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,3,4,3,2,211,1,2,3,1
3242,3243,2,4,1,4,5,4,5,5,4,5,4,3,5,0,5,4,4,9,12,1466,1,1,5,2
1037,1038,2,3,1,5,4,5,5,5,5,5,4,5,5,1,5,5,5,11,3,401,2,2,12,2
2878,2879,2,2,1,4,4,3,3,4,4,4,4,4,4,0,3,3,3,10,2,212,2,3,8,1
4116,4117,2,4,1,5,5,5,5,5,5,5,4,4,4,0,5,4,5,8,4,402,2,2,9,4
4091,4092,1,1,1,4,4,4,4,4,4,4,3,3,4,0,4,4,4,8,7,5001,1,3,2,1
4946,4947,1,1,1,4,4,4,3,4,3,3,3,3,4,0,4,3,4,8,5,501,1,2,8,1
8196,8197,2,3,1,4,3,3,3,3,4,4,4,3,3,0,4,4,4,4,2,206,2,1,4,1
4278,4279,1,1,1,4,5,5,4,4,4,4,4,5,5,1,5,5,5,8,5,501,1,2,3,3
11448,11449,2,4,1,4,3,4,4,4,4,4,3,4,4,1,4,4,4,1,1,1,2,2,4,3
1799,1800,1,1,1,5,5,4,5,5,5,5,5,5,5,1,5,5,5,11,7,5001,2,2,2,2
9674,9675,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,2,218,1,2,6,1
4700,4701,1,1,1,5,5,5,5,5,4,4,3,3,5,1,4,5,5,8,2,218,1,1,7,2
9194,9195,2,4,1,2,5,2,3,5,3,4,3,4,4,0,4,4,4,3,1,1,2,1,3,4
476,477,1,1,1,5,5,4,4,5,5,5,3,4,5,1,5,4,4,12,7,5001,1,2,1,2
2341,2342,2,4,1,5,5,5,5,5,5,5,4,4,4,0,4,4,4,10,4,402,1,2,12,1
5331,5332,2,2,1,4,4,4,4,5,4,4,3,4,4,1,5,3,4,7,3,401,1,2,2,3
8001,8002,1,1,1,5,5,5,5,5,5,5,3,3,5,1,5,5,5,4,97,5337,2,3,12,1
10237,10238,1,1,1,3,4,4,4,4,4,4,4,4,4,1,5,4,4,2,7,5001,2,2,7,1
2486,2487,2,4,1,5,5,5,5,5,5,5,3,5,5,0,4,4,4,10,6,701,2,3,5,3
8868,8869,2,2,1,5,5,5,5,5,5,5,5,5,5,0,4,4,4,4,2,202,2,2,5,2
4440,4441,1,1,1,5,5,5,5,5,4,4,5,5,5,0,4,4,5,8,14,1702,2,2,8,1
1958,1959,2,2,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,11,5,502,2,2,12,2
4028,4029,1,1,1,4,5,5,5,5,5,3,3,5,3,0,5,3,4,9,1,3,2,1,3,1
6068,6069,1,1,1,4,4,4,5,5,4,4,4,4,4,0,4,4,4,6,5,501,2,2,3,1
6008,6009,2,2,1,4,3,4,4,4,4,4,4,4,4,0,4,4,4,6,3,401,1,2,8,1
8448,8449,1,1,1,5,5,5,5,4,5,5,4,5,5,0,4,4,4,4,10,1012,2,2,1,4
301,302,1,1,1,4,4,3,4,4,4,3,3,3,4,0,4,4,5,12,3,401,2,2,8,1
7298,7299,2,4,1,5,3,4,4,4,5,5,4,4,5,1,5,4,5,5,6,701,2,3,2,3
7629,7630,1,1,1,5,4,4,3,4,4,5,5,4,5,0,4,4,4,5,2,203,1,2,12,1
6797,6798,1,1,1,5,5,5,5,5,4,5,4,4,5,1,4,4,4,6,7,5001,2,2,8,0
3188,3189,1,1,1,5,5,5,5,5,5,5,4,4,4,0,5,4,5,9,14,1701,1,2,3,1
1884,1885,2,2,1,4,4,4,4,5,3,4,4,4,4,0,4,4,4,11,2,209,2,2,1,1
2120,2121,2,2,1,5,5,4,4,5,5,5,4,5,5,1,5,5,5,10,12,1472,1,4,12,0
10152,10153,2,4,1,3,3,4,4,4,3,3,3,4,4,0,4,3,3,2,1,3,2,2,8,1
2409,2410,2,3,1,5,5,5,4,4,4,4,4,3,5,1,5,4,4,10,3,401,1,2,5,1
600,601,2,2,1,5,3,4,3,5,5,5,4,5,5,1,5,4,4,12,5,504,1,2,4,2
9480,9481,1,1,1,4,4,4,4,4,3,4,4,4,4,0,4,4,4,3,2,206,1,2,3,1
7880,7881,2,2,1,4,3,3,3,5,4,4,3,4,4,0,4,4,4,5,5,501,2,2,4,4
286,287,2,4,1,3,4,3,4,4,3,4,4,4,4,1,3,5,4,12,1,2,1,1,9,5
9215,9216,2,4,1,5,5,5,5,5,5,5,3,5,5,1,5,5,5,3,5,502,1,3,12,3
2440,2441,2,4,1,4,3,4,3,4,3,4,3,3,4,0,4,3,4,10,2,219,1,2,12,2
615,616,1,1,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,12,2,218,1,2,4,1
2604,2605,1,1,1,5,4,5,4,5,5,5,3,4,5,0,4,4,4,10,2,201,2,3,4,2
4531,4532,1,1,1,5,5,5,5,5,5,5,4,5,5,1,5,5,5,8,97,6176,1,3,12,1
7053,7054,1,1,1,5,5,4,4,4,4,5,3,4,5,0,5,4,5,5,7,6035,2,2,1,2
2445,2446,2,3,1,4,4,4,4,4,4,4,3,4,4,0,4,4,4,10,3,401,2,1,1,3
4677,4678,1,1,1,5,5,5,5,5,5,5,3,4,4,0,4,3,4,8,2,234,2,2,3,2
371,372,1,1,1,4,4,4,3,3,4,2,1,2,4,0,3,2,3,12,3,401,2,2,8,0
6866,6867,1,1,1,5,5,5,3,5,4,5,4,4,5,1,5,4,5,6,2,296,2,1,3,1
1357,1358,1,1,1,3,3,3,3,3,3,3,3,3,3,0,3,3,3,11,97,5006,2,2,2,1
2620,2621,2,2,1,5,5,5,5,5,4,5,5,5,5,1,5,5,5,10,2,210,1,2,11,1
7185,7186,1,1,1,5,5,3,5,5,5,5,3,2,5,0,5,3,5,5,7,5001,1,2,5,2
8173,8174,2,2,1,4,4,5,5,5,5,4,3,2,4,0,4,5,5,4,14,1703,2,2,3,1
8180,8181,2,2,1,4,4,5,5,5,5,5,4,5,5,1,5,5,5,4,1,35,2,2,8,0
2567,2568,1,1,1,5,5,5,5,5,5,5,5,5,5,0,4,4,4,10,2,231,1,1,4,1
1630,1631,1,1,1,5,5,5,5,5,5,5,5,5,5,1,5,4,5,11,2,215,2,2,6,2
2976,2977,1,1,1,4,4,5,5,5,5,5,5,5,5,0,4,4,4,10,2,201,2,2,9,3
1796,1797,1,1,1,5,5,5,5,3,5,5,3,4,4,1,5,5,5,11,8,601,1,1,5,2
10921,10922,1,1,1,5,5,5,5,4,4,4,4,4,5,1,5,4,5,2,2,215,2,2,8,1
6344,6345,1,1,1,5,4,4,3,3,5,5,3,3,4,1,5,3,4,6,6,750,2,2,4,1
1080,1081,2,2,1,4,4,4,4,4,4,4,4,4,4,0,4,4,4,11,3,401,2,1,4,3
